id,Decision
1,1
2,0
3,0
4,1
5,1
6,1
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,0
132,0
133,0
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,1
173,1
174,1
175,1
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,0
292,1
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,0
308,1
309,1
310,1
311,0
312,0
313,0
314,1
315,1
316,0
319,1
320,1
321,1
322,1
324,1
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,1
362,0
363,0
364,0
365,1
366,0
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,1
387,0
388,0
389,1
390,0
391,1
392,1
393,1
394,1
396,0
397,1
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,1
415,1
416,1
417,1
418,1
420,1
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,1
444,1
445,1
446,1
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,0
462,1
463,0
464,1
465,0
466,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,1
482,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,0
532,1
533,1
534,0
535,0
536,0
537,0
538,1
540,0
542,1
543,0
544,0
545,0
546,1
548,0
549,0
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
565,1
566,0
567,1
568,0
569,1
571,0
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,1
620,1
621,0
623,1
624,1
625,1
628,1
630,0
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,0
645,0
646,0
647,1
648,1
649,1
650,1
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,0
667,1
668,0
669,0
671,1
672,0
673,1
674,1
675,0
676,1
677,0
678,0
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,1
694,0
696,1
697,0
698,1
699,0
700,1
701,0
702,0
703,1
704,1
705,1
706,0
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,1
727,1
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,1
748,1
749,0
750,1
751,1
752,1
753,1
754,1
755,1
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,0
765,1
766,1
768,0
769,1
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,0
782,0
783,1
784,0
785,0
786,0
787,1
788,1
789,1
790,1
792,0
793,1
794,1
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,0
807,1
808,1
809,0
810,1
811,1
813,1
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,1
823,1
824,1
825,1
826,0
827,1
828,1
829,0
830,1
831,0
832,0
833,0
834,1
835,1
836,0
837,1
838,1
839,0
840,0
841,0
842,0
843,1
844,1
845,0
846,0
847,1
848,1
849,1
850,0
851,1
852,1
853,1
854,0
855,0
856,0
857,1
858,1
859,1
860,0
861,1
862,0
863,0
864,1
865,1
866,1
867,1
868,1
869,0
870,1
871,1
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,1
881,0
